# BEAST v1.8.4
# Generated Thu Aug 23 14:28:10 CEST 2018 [seed=1535027288663]
# Ebola_glm_dta_rep1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	cds.CP1.kappa	cds.CP2.kappa	cds.CP3.kappa	ig.kappa	cds.CP1.alpha	cds.CP2.alpha	cds.CP3.alpha	ig.alpha	cds.CP1.mu	cds.CP2.mu	cds.CP3.mu	ig.mu	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.logPopSize51	skygrid.logPopSize52	skygrid.logPopSize53	skygrid.logPopSize54	skygrid.logPopSize55	skygrid.logPopSize56	skygrid.logPopSize57	skygrid.logPopSize58	skygrid.logPopSize59	skygrid.logPopSize60	skygrid.logPopSize61	skygrid.logPopSize62	skygrid.logPopSize63	skygrid.logPopSize64	skygrid.logPopSize65	skygrid.logPopSize66	skygrid.logPopSize67	skygrid.logPopSize68	skygrid.logPopSize69	skygrid.logPopSize70	skygrid.logPopSize71	skygrid.logPopSize72	skygrid.logPopSize73	skygrid.logPopSize74	skygrid.logPopSize75	skygrid.logPopSize76	skygrid.logPopSize77	skygrid.logPopSize78	skygrid.logPopSize79	skygrid.logPopSize80	skygrid.logPopSize81	skygrid.logPopSize82	skygrid.logPopSize83	skygrid.logPopSize84	skygrid.logPopSize85	skygrid.logPopSize86	skygrid.logPopSize87	skygrid.logPopSize88	skygrid.logPopSize89	skygrid.logPopSize90	skygrid.logPopSize91	skygrid.logPopSize92	skygrid.logPopSize93	skygrid.logPopSize94	skygrid.logPopSize95	skygrid.logPopSize96	skygrid.logPopSize97	skygrid.logPopSize98	skygrid.logPopSize99	skygrid.logPopSize100	skygrid.cutOff	cds.CP1.treeLikelihood	cds.CP2.treeLikelihood	cds.CP3.treeLikelihood	ig.treeLikelihood	skygrid	location.rate	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.root.frequencies6	location.root.frequencies7	location.root.frequencies8	location.root.frequencies9	location.root.frequencies10	location.root.frequencies11	location.root.frequencies12	location.root.frequencies13	location.root.frequencies14	nonZeroIndicatorCount	location.coefIndicator1	location.coefIndicator2	location.coefIndicator3	location.coefIndicator4	location.coefIndicator5	location.coefIndicator6	location.coefIndicator7	location.coefIndicator8	location.coefIndicator9	location.coefIndicator10	location.coefIndicator11	location.coefIndicator12	location.coefIndicator13	location.coefIndicator14	location.coefIndicator15	location.coefIndicator16	location.coefIndicator17	location.coefIndicator18	location.coefIndicator19	location.coefIndicator20	location.coefIndicator21	location.coefIndicator22	location.coefIndicator23	location.coefIndicator24	location.coefIndicator25	location.coefIndicator26	location.coefIndicator27	location.coefIndicator28	location.coefIndicator29	location.coefIndicator30	location.coefIndicator31	location.coefIndicator32	location.coefIndicator33	location.coefIndicator34	location.coefIndicator35	location.coefIndicator36	location.coefIndicator37	location.coefIndicator38	location.coefIndicator39	location.coefIndicator40	location.coefIndicator41	location.coefIndicator42	location.coefIndicator43	location.coefIndicator44	location.coefIndicator45	location.coefIndicator46	location.coefIndicator47	location.coefIndicator48	location.glmCoefficients1	location.glmCoefficients2	location.glmCoefficients3	location.glmCoefficients4	location.glmCoefficients5	location.glmCoefficients6	location.glmCoefficients7	location.glmCoefficients8	location.glmCoefficients9	location.glmCoefficients10	location.glmCoefficients11	location.glmCoefficients12	location.glmCoefficients13	location.glmCoefficients14	location.glmCoefficients15	location.glmCoefficients16	location.glmCoefficients17	location.glmCoefficients18	location.glmCoefficients19	location.glmCoefficients20	location.glmCoefficients21	location.glmCoefficients22	location.glmCoefficients23	location.glmCoefficients24	location.glmCoefficients25	location.glmCoefficients26	location.glmCoefficients27	location.glmCoefficients28	location.glmCoefficients29	location.glmCoefficients30	location.glmCoefficients31	location.glmCoefficients32	location.glmCoefficients33	location.glmCoefficients34	location.glmCoefficients35	location.glmCoefficients36	location.glmCoefficients37	location.glmCoefficients38	location.glmCoefficients39	location.glmCoefficients40	location.glmCoefficients41	location.glmCoefficients42	location.glmCoefficients43	location.glmCoefficients44	location.glmCoefficients45	location.glmCoefficients46	location.glmCoefficients47	location.glmCoefficients48	location.coefficientsTimesIndicators1	location.coefficientsTimesIndicators2	location.coefficientsTimesIndicators3	location.coefficientsTimesIndicators4	location.coefficientsTimesIndicators5	location.coefficientsTimesIndicators6	location.coefficientsTimesIndicators7	location.coefficientsTimesIndicators8	location.coefficientsTimesIndicators9	location.coefficientsTimesIndicators10	location.coefficientsTimesIndicators11	location.coefficientsTimesIndicators12	location.coefficientsTimesIndicators13	location.coefficientsTimesIndicators14	location.coefficientsTimesIndicators15	location.coefficientsTimesIndicators16	location.coefficientsTimesIndicators17	location.coefficientsTimesIndicators18	location.coefficientsTimesIndicators19	location.coefficientsTimesIndicators20	location.coefficientsTimesIndicators21	location.coefficientsTimesIndicators22	location.coefficientsTimesIndicators23	location.coefficientsTimesIndicators24	location.coefficientsTimesIndicators25	location.coefficientsTimesIndicators26	location.coefficientsTimesIndicators27	location.coefficientsTimesIndicators28	location.coefficientsTimesIndicators29	location.coefficientsTimesIndicators30	location.coefficientsTimesIndicators31	location.coefficientsTimesIndicators32	location.coefficientsTimesIndicators33	location.coefficientsTimesIndicators34	location.coefficientsTimesIndicators35	location.coefficientsTimesIndicators36	location.coefficientsTimesIndicators37	location.coefficientsTimesIndicators38	location.coefficientsTimesIndicators39	location.coefficientsTimesIndicators40	location.coefficientsTimesIndicators41	location.coefficientsTimesIndicators42	location.coefficientsTimesIndicators43	location.coefficientsTimesIndicators44	location.coefficientsTimesIndicators45	location.coefficientsTimesIndicators46	location.coefficientsTimesIndicators47	location.coefficientsTimesIndicators48	location.treeLikelihood	location.model	location.model
0	-37169.495887983874	-1735.6389089691654	-35433.85697901471	0.6598809999999999	9.016	12.929	13.646	8.735	0.169	0.05424	0.605	0.354	0.536	0.503	1.412	1.597	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	-7883.250252832135	-7686.69042648277	-10054.900796839609	-9159.304984880182	-1573.5710706026564	1.0	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	48.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	-649.7105179800143	0.0	1.3014857170842182
500000	206964.26362561277	-821.4500108049762	207785.71363641776	0.687271767870379	9.016	12.929	13.646	8.735	0.169	0.05424	0.605	0.354	0.536	0.503	1.412	1.597	6.794822548857583	0.7586158457414577	0.3395636985844927	0.831570358898374	0.5661085746711345	0.1371484510729737	0.3562478121739332	0.8677273338823887	0.7100223929879588	0.2731218124090634	1.208531503036082	1.6627571160057275	1.885398581365251	1.5160542375083157	1.864329090573938	2.280941800452154	2.20811525837549	2.208388991507298	1.811263593989048	1.1088792339018598	0.8996629275362399	1.011536786359448	0.9515289815058936	0.7443891823860872	0.5222977903779471	0.9787204614480484	0.10309530598356412	-0.023693902538415926	-0.3539805709322376	0.15627542302770764	-0.09264071184748868	0.3715373877543755	0.5453424625007719	0.34463365442342464	0.3928868013833896	-0.20142438467279833	-0.9901558762334708	-0.9198067702368473	-1.0159890498171629	-1.9107428429566662	-2.4202462719099547	-2.0274732028942117	-2.9298073824410085	-2.4059278751904736	-2.684065930635182	-2.851407822746124	-3.2139544768018316	-3.3519722525308273	-3.038703892754855	-2.292886341427725	-2.1266561790293608	-2.599704916705885	-2.0212597954901383	-1.9135101575984264	-2.0366982012756876	-2.095884852295807	-2.538900475667899	-2.1860741982732415	-1.9992503739366663	-1.8871674195646149	-2.1643906180267205	-2.6674542720358296	-2.6822736860479868	-2.33382800992448	-2.177383026235306	-2.2696473646508917	-2.4282803150614147	-2.3972449839118957	-2.744612596424532	-2.871793163313081	-3.130686924657389	-2.4869666207249654	-2.1255751653951744	-2.578187338314145	-3.332200010998223	-3.489121229198526	-3.606195511993688	-3.7485016800535846	-3.761473591397411	-3.474134882399081	-3.402224387582306	-3.497612405151505	-3.2549116655035926	-3.23663258938477	-3.134926234296336	-3.5281733146698446	-3.4049592459770532	-3.3908437392449464	-3.598609010420472	-3.273705740211888	-3.1699776888790607	-3.855320206674737	-4.456198601889749	-4.291298637738803	-4.625263599410967	-4.442275872422816	-4.366320447667981	-5.010823891526519	-5.59884823298157	-5.62373307970082	-5.3520144736553	1.5	-7878.955554286453	-7682.704148727433	-10039.416572875974	-9153.81358485664	-716.8432526346448	3.179695704998241	0.1570163094900605	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07053810892761947	0.07231903392952338	0.07142857142857142	0.03136277584575986	0.0259066289498939	0.07142857142857142	0.07142857142857142	12.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1360033063151559	1.2477564491072544	0.37830148912692474	0.5065635160080598	0.11460066062694518	-0.20297345583765591	0.25059184266527634	1.5058324545428041	-0.6199822954450359	0.6539581267328515	1.6417213186418191	0.43774793160959813	0.28046969090575335	1.50514042412664	-0.5492980707959308	0.6879508959597532	0.21819172213343307	0.5420892476455464	-0.6222836585692352	0.8360593061929938	-0.6740592806450645	-0.45844919760278713	0.5430250228347183	-1.7043345318896501	0.8507343636805661	-1.1813861212873802	-2.030446089534844	0.09619735116651917	0.8490376493833356	0.05306139685970146	0.3057137187045246	1.1222560180179904	-0.27779506873849635	0.9546150426961563	1.3144096395328417	0.4655179543148763	0.33289535137718174	-1.0278271972556157	-0.3228639370416676	-0.3303628529368571	-0.08928317493706359	0.03952108751440342	-0.4274830212174674	0.1816812182654831	-1.8710859122048453	0.5650031431935449	0.5856382166744839	0.11429919763586027	-0.1360033063151559	1.2477564491072544	0.0	0.5065635160080598	0.0	-0.0	0.25059184266527634	0.0	-0.0	0.6539581267328515	0.0	0.0	0.0	0.0	-0.0	0.6879508959597532	0.0	0.5420892476455464	-0.0	0.8360593061929938	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.3057137187045246	0.0	-0.0	0.9546150426961563	1.3144096395328417	0.0	0.0	-0.0	-0.0	-0.0	-0.08928317493706359	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	242540.60349716427	0.0	3.3784868112789677
1000000	-36135.06487987982	-857.4968039303546	-35277.568075949464	0.6971746174444988	9.016	12.929	13.646	8.735	0.169	0.05424	0.605	0.354	0.536	0.503	1.412	1.597	4.2810027703689775	0.4645022621838534	1.2875196347614972	0.8425934645007964	0.9366457103646122	0.7492622969240571	0.21995095323307945	0.7113894097358731	0.4139063928828261	0.8516972662817146	2.614268140255505	2.0232786497822395	2.3588482009159413	2.363513529357424	1.8006378066676643	1.963587200260889	2.661091761868694	2.139044982991553	1.9373422036938692	1.1882548657125698	1.1032814589188786	1.038211871307644	0.9850290331662551	1.1825187759946598	0.8468856936308035	0.6748505765004497	0.3703435819039491	0.225493234902868	0.3211665385839013	0.14239716298867638	0.013424520124742018	0.5392105173218398	0.8562596566193754	0.235905840968297	-0.16302850244281308	-0.3221004355186069	-0.7658591419044664	-0.8596839308244837	-1.3228767401198294	-2.0094927156410467	-1.8539357693138196	-1.7549774880007676	-2.045066563328031	-2.1262454815286067	-2.8554044142808572	-2.8583353691776607	-2.9688793620732468	-3.50297986676433	-3.4359639981074386	-3.4901639158321314	-4.029086078626333	-5.221056415478888	-5.6287966027202305	-5.784501913098843	-5.7714461860321515	-5.9921173626317845	-6.638590957470278	-7.018923864076342	-6.685099553458902	-7.378531005052034	-7.505929217084691	-7.013719844093533	-7.189594862188088	-7.171310358926781	-7.490011884415473	-7.404941026519896	-7.3395211209359825	-7.574605102141863	-7.777690603536751	-7.928433018317454	-7.57928104588321	-6.912231252536053	-7.491268915436353	-7.026653259914981	-6.693545425618552	-7.200198259352459	-7.602548235043496	-7.540615252932496	-7.999654590433112	-8.598415302589117	-9.595464617158541	-9.549032403873722	-8.973105679356083	-8.976516126566523	-9.012099740102899	-9.459631283768768	-8.680651733341257	-8.810651646777957	-10.135330737436583	-11.424889222682772	-11.291012763616138	-11.628317981070477	-10.691983640621846	-10.983319794585071	-11.332861800224837	-10.76142660622461	-11.217008712568427	-11.098003517846925	-11.699992137963712	-11.455747211971667	-11.347012711853903	1.5	-7878.977700097538	-7682.897464316031	-10039.040681112801	-9152.790626398413	-752.8900457600233	3.179695704998241	0.1570163094900605	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07053810892761947	0.07231903392952338	0.07142857142857142	0.03136277584575986	0.0259066289498939	0.07142857142857142	0.07142857142857142	12.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1360033063151559	1.2477564491072544	0.37830148912692474	0.5065635160080598	0.11460066062694518	-0.20297345583765591	0.25059184266527634	1.5058324545428041	-0.6199822954450359	0.6539581267328515	1.6417213186418191	0.43774793160959813	0.28046969090575335	1.50514042412664	-0.5492980707959308	0.6879508959597532	0.21819172213343307	0.5420892476455464	-0.6222836585692352	0.8360593061929938	-0.6740592806450645	-0.45844919760278713	0.5430250228347183	-1.7043345318896501	0.8507343636805661	-1.1813861212873802	-2.030446089534844	0.09619735116651917	0.8490376493833356	0.05306139685970146	0.3057137187045246	1.1222560180179904	-0.27779506873849635	0.9546150426961563	1.3144096395328417	0.4655179543148763	0.33289535137718174	-1.0278271972556157	-0.3228639370416676	-0.3303628529368571	-0.08928317493706359	0.03952108751440342	-0.4274830212174674	0.1816812182654831	-1.8710859122048453	0.5650031431935449	0.5856382166744839	0.11429919763586027	-0.1360033063151559	1.2477564491072544	0.0	0.5065635160080598	0.0	-0.0	0.25059184266527634	0.0	-0.0	0.6539581267328515	0.0	0.0	0.0	0.0	-0.0	0.6879508959597532	0.0	0.5420892476455464	-0.0	0.8360593061929938	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.3057137187045246	0.0	-0.0	0.9546150426961563	1.3144096395328417	0.0	0.0	-0.0	-0.0	-0.0	-0.08928317493706359	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-523.8616040246761	0.0	3.3784868112789677
1500000	-35346.77918652207	-365.8128091609587	-34980.96637736111	0.6327595051252187	9.016	12.929	13.646	8.735	0.169	0.05424	0.605	0.354	0.536	0.503	1.412	1.597	4.668190398445546	0.5979770255113631	-0.18671165298606263	-0.7189961051894284	-0.5249668871654678	-0.5377895345496191	0.10245088026429733	0.3131415065968896	-0.1978019550879355	0.18416308771158751	0.32322585782207525	1.1366253599088523	0.8204276560255421	1.300129718126664	0.8892477261109664	1.2840334906731323	0.9417250487987978	0.39160100732733893	-0.3707718354142371	-0.3577446103316679	-1.1363932726851378	-0.3757866955040173	0.1788109163148146	-0.3612154709827865	-0.279434429194225	-0.2648969170449652	-0.5713852373633989	-1.1094370436283383	-0.9547431432433185	-0.6111920302253947	-0.44794411034264237	-0.19213865476278966	-0.7932301350700757	-0.715587802229067	-1.6136776112102695	-1.6468625223157418	-2.2113228832571807	-2.281199025870154	-2.316988039504206	-3.1222163647178376	-2.9644139183707003	-4.212935984065766	-4.215316373979699	-3.6594743756380304	-3.4011231610751826	-4.338359092143005	-3.812754034273405	-4.6113520113967805	-4.44554035774963	-3.9386800251471366	-3.374368560550478	-3.074694099162435	-3.3542138529258687	-4.06029234959059	-4.466864232671356	-4.365921634079349	-4.672325286243303	-4.800516727967558	-5.421906883027558	-5.080248296038926	-5.051644935314206	-4.7462300622831295	-4.993105853716109	-4.942974611227892	-5.68901475432773	-5.897343953597224	-6.092826040849176	-5.601678832794655	-5.9285589044381535	-5.455788536274286	-5.416704001538054	-4.784489853776556	-4.048100046450695	-4.130772122341326	-3.627324455190062	-3.6960057820692316	-3.201130268249406	-4.127785038997396	-3.8006346117408105	-3.8725794636851756	-3.929317906705701	-3.133175149435371	-3.5625253369832106	-3.199284006883797	-3.1330295770549235	-3.432806012022543	-3.6882263450570734	-2.7856470222016996	-3.151930166923587	-3.0556325664824637	-2.8880146782254084	-3.148827600882388	-4.1875019830862446	-3.8118388972037227	-3.049676537388078	-3.47288671470905	-3.2660462577050047	-2.7551913862460102	-3.0611895821662505	-3.567541297813828	-3.1512957951871527	1.5	-7834.217831207477	-7645.6148220276245	-9942.681318564051	-9028.513057483988	-245.099520197616	12.38057259528922	0.15701746638994044	0.1274496602052843	3.6062613305541625E-4	0.1750983351454501	0.15392973325115447	0.018860251906778223	0.0018667726230132894	0.10915695609055326	0.028200157130381237	0.021556403565699704	0.15264329775709162	0.001711990512451883	0.03506671241797753	0.017081636871168742	9.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.4911732201831604	0.9666273867771809	-0.1309713018611285	0.9052723120730969	3.340246971268563	-0.6347613603248667	-4.089100158574067	0.8597748794025499	-1.3979123470634	-0.1451551799176709	-3.192797411761472	1.9424765220891342	-0.21243117082879837	-2.8917918811091035	0.28122869906615083	-1.6614049902666443	-1.2230057738849336	-1.0888121486572062	-1.7264284160527603	-0.23971592965053845	-0.5964869130212678	0.030739997273033892	-0.32343077585777946	2.6356090165527783	-1.251914364951113	0.41637572177651866	1.2888194583626547	2.02971201037559	3.313622300944336	2.0060539862007962	-1.900784344881282	-1.036349792564129	-2.2348044069484176	1.9338558403762252	4.157969672253599	0.3803039729162305	0.006160902676486613	-0.11890990931154888	-0.7292824964792279	-4.809674549726841	-0.8274767195625431	1.8420830996594426	-2.840820481809649	-0.0017517963869568831	-1.34071489096891	-1.4620715704302667	0.5557522941809055	2.3550657706523657	-0.4911732201831604	0.9666273867771809	-0.0	0.0	0.0	-0.0	-0.0	0.8597748794025499	-0.0	-0.0	-0.0	0.0	-0.21243117082879837	-0.0	0.28122869906615083	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.32343077585777946	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-2.2348044069484176	0.0	0.0	0.3803039729162305	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-1.4620715704302667	0.0	0.0	-529.9393480779722	0.0	3.3420523299085376
2000000	-35296.08198078857	-363.7857676347477	-34932.29621315382	0.6611475756604522	9.016	12.929	13.646	8.735	0.169	0.05424	0.605	0.354	0.536	0.503	1.412	1.597	2.976785953886398	0.8487906629510508	0.3109985622339875	0.7801391209346114	0.30880434657424216	-0.11213271041307737	0.21940843539246674	0.7744670134518384	0.7965907881290569	-0.005986360694600373	0.9441133246955269	0.8444057915506343	0.37133764730823404	1.0326027208542516	1.2497934838790796	0.8956452964906485	0.638069631977072	0.822873593923064	-0.4080427028682564	-1.249938671117183	-1.2277176239933425	-0.9683948603544356	-0.44852310818945007	-0.5212061887579204	0.046176715437147575	0.30993636084025394	-1.0251276470842108	-0.5633728138326718	-0.7671078265828036	0.5120876370058955	0.6394928497855011	0.260234630151347	-0.308538521729911	-1.4309956420557157	-1.576220711422599	-1.6074296685651128	-2.1108312572405135	-2.585044065010237	-2.2992781470753934	-3.076119434043928	-2.9934793100089796	-2.8978123601884946	-3.34555782563344	-3.8636075520711044	-3.7712012357324975	-3.631381259120368	-3.38174385463137	-3.0929430552326274	-4.152372109103562	-3.888927218140721	-3.7029792815395357	-3.050727619660788	-2.8701031789547238	-2.344613564731061	-2.5536250480943337	-3.2195199698038865	-2.330455803176216	-3.3745818352483297	-2.3355206617782014	-2.0204328995525396	-1.765216253302928	-0.6130414467990764	-0.3527243384918486	-0.7058147825407208	-0.4353777095502678	-0.2852439278725005	-0.3430406862209301	-0.04460040609193605	0.25607845373267724	1.1136215393403242	1.1972457942018049	0.2114569418467367	-1.1327925046897431	-1.2531951861441284	-0.9180059916304684	-0.44776477785454283	1.1641235969458275	0.5000206484451413	0.9424783160368837	1.7547564416560482	1.4254832943617455	0.7069894619978974	0.7369388827237717	0.16298839261110487	0.5674501079627379	1.2802601186864626	1.1671923734675915	1.7430080391135125	2.9763760232801273	3.1709119594476673	2.911173396856644	2.505642793530773	2.3037179398516807	3.571454345961517	3.4846547096610068	2.334396575443727	2.7742064474575816	3.439058489690107	3.4539135184658156	2.995270379213002	3.1874970031235104	1.5	-7813.373693712526	-7650.396744907401	-9904.602430316627	-9015.811126454864	-238.0186640920192	26.892243153524138	0.1822743961100384	0.008037315075610507	0.0024864984787734724	0.04240736016078918	0.1545825704192786	0.021543582337752033	0.08541127004139049	0.030557124867962693	0.09895892688722444	0.04577636090846647	0.13076818591877765	0.009081970318291228	0.02486196947835509	0.1632524689972901	8.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.4991894934126357	0.8849962616877801	-3.8918371573156776	0.7753047388596224	3.1878947903276265	-0.28013797529932183	1.1386360587078088	1.1003565308824337	-0.7071544392510101	0.5709478921413793	-0.5346557432296346	4.494294410678562	-0.43560387265385736	0.5486255668223678	3.9867394143319155	-0.34221042810865177	0.7440554229595882	2.5110093773499265	1.213842358633141	-0.14046090625793	2.348166347736372	-4.605779755205885	-2.082590937399763	1.4668376302856503	-1.9724037293914123	-3.0766364308884646	0.10224013140131749	3.3305218040590314	0.6196926646280851	3.0483900864700217	2.279725722812742	1.805720185506272	-1.1778245228328121	0.2475213996936212	-0.6836064232621379	0.302973522889205	-1.6626799907320353	-0.6540275458852797	-0.5689438147093928	1.3851848964445626	-0.8702303152045348	-0.6736518904938595	-0.2666831249165109	-3.464983499680212	-3.235421320376391	-2.5314279015056558	-4.300964766753732	-1.291026589101228	-0.4991894934126357	0.8849962616877801	-0.0	0.0	0.0	-0.0	0.0	1.1003565308824337	-0.0	0.0	-0.0	0.0	-0.43560387265385736	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	3.3305218040590314	0.0	0.0	0.0	0.0	-1.1778245228328121	0.2475213996936212	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-2.5314279015056558	-0.0	-0.0	-548.1122177624054	0.0	6.170977022597764
